Alias,Lat,Lon,area,perimeter,area_buffer_ratio
Aritis,38.284469,21.765306,766.349609375,252.399236202493,0.133587447522978
Dimaion,38.211322,21.716844,2493.08203125,894.451770086034,0.151599194279644
Fintiou,38.234419,21.735664,4047.517578125,1088.76547414691,0.206288749429697
Gounari,38.244875,21.731675,15562.1943359375,3598.00112878359,0.257805541463728
Isaiou,38.225647,21.733011,299.8125,112.158533015161,0.171602204065761
LapUp,38.291969,21.788156,14896.0703125,1550.67989683663,0.154393031857328
Mintilogli,38.186581,21.706458,2603.478515625,683.403885677798,0.0207178237497635
Zakynthou,38.259222,21.746347,24093.0947265625,6454.09965916918,0.191726756005685
