Alias,Lat,Lon,area,perimeter,area_buffer_ratio
Aritis,38.284469,21.765306,2038.0830078125,196.996876875592,0.574242396224719
Dimaion,38.211322,21.716844,0.0009765625,0.0808346109899684,0.308229915106142
Fintiou,38.234419,21.735664,2791.044921875,228.174319966653,0.740082701762594
Gounari,38.244875,21.731675,4.20703125,10.3880356060688,0.741792902446986
Isaiou,38.225647,21.733011,6742.375,502.443099971984,0.744316557412049
LapUp,38.291969,21.788156,72.7275390625,49.1272365868214,0.018524788311014
Mintilogli,38.186581,21.706458,336.5830078125,106.339789182027,0.235589423132514
Zakynthou,38.259222,21.746347,963.1689453125,145.900894660643,0.702658668063765
