Alias,Lat,Lon,area,perimeter,area_buffer_ratio
Aritis,38.284469,21.765306,3139.2802734375,284.93855623306,0.15266327096826
Dimaion,38.211322,21.716844,3595.3828125,324.702892139298,0.129940926457947
Fintiou,38.234419,21.735664,2939.66796875,241.564186655926,0.0233931344137737
Isaiou,38.225647,21.733011,866.546875,144.556821100305,0.0785181897108417
LapUp,38.291969,21.788156,15883.6318359375,683.250672309221,0.438646239244202
Mintilogli,38.186581,21.706458,5656.85546875,298.977541671146,0.234328423286771
Zakynthou,38.259222,21.746347,3064.302734375,239.057635814569,0.0622819842030946
